Code,Class,Pixels,Hectares,Acres
22,"Developed, Low Intensity",311757,28058.13,69333.04
21,"Developed, Open Space",253971,22857.39,56481.75
82,Cultivated Crops,230126,20711.34,51178.76
90,Woody Wetlands,169202,15228.18,37629.59
81,Pasture/Hay,160069,14406.21,35598.47
41,Deciduous Forest,154930,13943.7,34455.58
23,"Developed, Medium Intensity",135489,12194.01,30132.01
95,Emergent Herbaceous Wetlands,122006,10980.54,27133.46
11,Open Water,66591,5993.19,14809.47
24,"Developed, High Intensity",32027,2882.43,7122.63
31,Barren Land,16713,1504.17,3716.88
43,Mixed Forest,10279,925.11,2285.99
42,Evergreen Forest,4881,439.29,1085.51
71,Grassland/Herbaceous,2355,211.95,523.74
52,Shrub/Scrub,364,32.76,80.95
